heart,heartLines,heartColor,love,loveLines,loveColor,give,giveLines,giveColor,gods,godsLines,godsColor,queen,queenLines,queenColor,mine,mineLines,mineColor,dead,deadLines,deadColor,son,sonLines,sonColor,posthumus,posthumusLines,posthumusColor,britain,britainLines,britainColor,false,falseLines,falseColor,fear,fearLines,fearColor,find,findLines,findColor,best,bestLines,bestColor,speak,speakLines,speakColor,death,deathLines,deathColor,court,courtLines,courtColor,mother,motherLines,motherColor,pray,prayLines,prayColor,lady,ladyLines,ladyColor,away,awayLines,awayColor,father,fatherLines,fatherColor,two,twoLines,twoColor,master,masterLines,masterColor,take,takeLines,takeColor,lord,lordLines,lordColor,poor,poorLines,poorColor,life,lifeLines,lifeColor,men,menLines,menColor,nature,natureLines,natureColor,honour,honourLines,honourColor,never,neverLines,neverColor,hand,handLines,handColor,hear,hearLines,hearColor,report,reportLines,reportColor,world,worldLines,worldColor,mistress,mistressLines,mistressColor,true,trueLines,trueColor,man,manLines,manColor,king,kingLines,kingColor,great,greatLines,greatColor,die,dieLines,dieColor,pisanio,pisanioLines,pisanioColor,imogen,imogenLines,imogenColor,leave,leaveLines,leaveColor,rather,ratherLines,ratherColor,roman,romanLines,romanColor,nothing,nothingLines,nothingColor,time,timeLines,timeColor,first,firstLines,firstColor
CAIUS LUCIUS,1,0,POSTHUMUS LEONATUS,4,126.0,POSTHUMUS LEONATUS,7,126.0,CAIUS LUCIUS,1,0,POSTHUMUS LEONATUS,3,126.0,POSTHUMUS LEONATUS,7,126.0,CAIUS LUCIUS,2,0,CLOTEN,2,288.0,CLOTEN,6,288.0,CAIUS LUCIUS,1,0,CAIUS LUCIUS,1,0,First Gaoler,1,117.0,CAIUS LUCIUS,1,0,First Gaoler,1,117.0,CAIUS LUCIUS,2,0,First Gaoler,2,117.0,First Lord,1,108.0,CLOTEN,2,288.0,IACHIMO,1,36.0,POSTHUMUS LEONATUS,3,126.0,CAIUS LUCIUS,1,0,CAIUS LUCIUS,1,0,CLOTEN,2,288.0,CAIUS LUCIUS,4,0,CAIUS LUCIUS,1,0,First Lord,1,108.0,GUIDERIUS,1,81.0,CAIUS LUCIUS,1,0,CAIUS LUCIUS,1,0,CAIUS LUCIUS,2,0,QUEEN,2,297.0,CAIUS LUCIUS,2,0,CAIUS LUCIUS,1,0,First Lord,2,108.0,CAIUS LUCIUS,1,0,POSTHUMUS LEONATUS,3,126.0,POSTHUMUS LEONATUS,4,126.0,First Lord,1,108.0,First Lord,2,108.0,CAIUS LUCIUS,1,0,POSTHUMUS LEONATUS,5,126.0,First Gaoler,1,117.0,POSTHUMUS LEONATUS,1,126.0,POSTHUMUS LEONATUS,9,126.0,CAIUS LUCIUS,1,0,CAIUS LUCIUS,2,0,First Lord,2,108.0,CAIUS LUCIUS,1,0,QUEEN,4,297.0,CLOTEN,3,288.0
POSTHUMUS LEONATUS,3,126.0,CYMBELINE,1,135.0,CYMBELINE,2,135.0,POSTHUMUS LEONATUS,7,126.0,CYMBELINE,7,135.0,CYMBELINE,3,135.0,CLOTEN,1,288.0,CYMBELINE,9,135.0,CYMBELINE,1,135.0,CLOTEN,1,288.0,POSTHUMUS LEONATUS,3,126.0,POSTHUMUS LEONATUS,3,126.0,CLOTEN,3,288.0,IACHIMO,3,36.0,IACHIMO,2,36.0,POSTHUMUS LEONATUS,5,126.0,POSTHUMUS LEONATUS,2,126.0,CYMBELINE,3,135.0,CYMBELINE,1,135.0,IMOGEN,5,144.0,CLOTEN,1,288.0,POSTHUMUS LEONATUS,4,126.0,IMOGEN,6,144.0,QUEEN,5,297.0,CLOTEN,2,288.0,CAIUS LUCIUS,1,0,POSTHUMUS LEONATUS,2,126.0,QUEEN,1,297.0,POSTHUMUS LEONATUS,5,126.0,CYMBELINE,1,135.0,CYMBELINE,4,135.0,POSTHUMUS LEONATUS,3,126.0,POSTHUMUS LEONATUS,1,126.0,POSTHUMUS LEONATUS,4,126.0,CLOTEN,1,288.0,CYMBELINE,3,135.0,CYMBELINE,1,135.0,First Gaoler,1,117.0,First Gaoler,3,117.0,QUEEN,9,297.0,CYMBELINE,2,135.0,POSTHUMUS LEONATUS,7,126.0,QUEEN,3,297.0,CYMBELINE,5,135.0,POSTHUMUS LEONATUS,2,126.0,POSTHUMUS LEONATUS,7,126.0,CAIUS LUCIUS,2,0,POSTHUMUS LEONATUS,5,126.0,CYMBELINE,6,135.0,CYMBELINE,2,135.0
CYMBELINE,4,135.0,IMOGEN,6,144.0,IMOGEN,6,144.0,CYMBELINE,4,135.0,IMOGEN,1,144.0,IMOGEN,14,144.0,CYMBELINE,2,135.0,IMOGEN,4,144.0,IMOGEN,6,144.0,CYMBELINE,4,135.0,CYMBELINE,1,135.0,CYMBELINE,2,135.0,CYMBELINE,2,135.0,CYMBELINE,2,135.0,CYMBELINE,6,135.0,CYMBELINE,2,135.0,CYMBELINE,3,135.0,IMOGEN,5,144.0,PHILARIO,2,18.0,PISANIO,8,27.0,CYMBELINE,3,135.0,PHILARIO,1,18.0,IACHIMO,5,36.0,CYMBELINE,3,135.0,CYMBELINE,2,135.0,IACHIMO,9,36.0,CYMBELINE,1,135.0,CYMBELINE,2,135.0,IMOGEN,6,144.0,IMOGEN,2,144.0,IMOGEN,3,144.0,CYMBELINE,1,135.0,CYMBELINE,2,135.0,CYMBELINE,2,135.0,CYMBELINE,2,135.0,Sicilius Leonatus,1,225.0,CORNELIUS,1,333.0,CLOTEN,6,288.0,POSTHUMUS LEONATUS,5,126.0,CYMBELINE,2,135.0,PHILARIO,1,18.0,CYMBELINE,3,135.0,CORNELIUS,1,333.0,IMOGEN,1,144.0,CYMBELINE,1,135.0,CYMBELINE,1,135.0,POSTHUMUS LEONATUS,2,126.0,IMOGEN,4,144.0,IMOGEN,5,144.0,IMOGEN,4,144.0
Sicilius Leonatus,1,225.0,CORNELIUS,1,333.0,PISANIO,3,27.0,IMOGEN,10,144.0,PISANIO,3,27.0,PISANIO,3,27.0,IMOGEN,3,144.0,CORNELIUS,1,333.0,First Brother,1,216.0,PHILARIO,1,18.0,IMOGEN,11,144.0,IMOGEN,7,144.0,IMOGEN,4,144.0,IMOGEN,3,144.0,PHILARIO,1,18.0,IMOGEN,2,144.0,PHILARIO,1,18.0,ARVIRAGUS,1,306.0,IMOGEN,8,144.0,IACHIMO,12,36.0,Sicilius Leonatus,1,225.0,IMOGEN,10,144.0,First Gentleman,2,162.0,IMOGEN,12,144.0,PHILARIO,1,18.0,CYMBELINE,2,135.0,IMOGEN,6,144.0,PHILARIO,1,18.0,IACHIMO,6,36.0,IACHIMO,5,36.0,Second Brother,1,153.0,Sicilius Leonatus,1,225.0,IMOGEN,5,144.0,IMOGEN,5,144.0,IMOGEN,2,144.0,IMOGEN,5,144.0,PISANIO,7,27.0,IMOGEN,6,144.0,CYMBELINE,1,135.0,PHILARIO,1,18.0,IMOGEN,4,144.0,PHILARIO,1,18.0,CLOTEN,2,288.0,First Brother,1,216.0,PHILARIO,2,18.0,PHILARIO,1,18.0,CYMBELINE,5,135.0,PISANIO,1,27.0,PISANIO,3,27.0,PISANIO,2,27.0
IMOGEN,8,144.0,PISANIO,2,27.0,IACHIMO,3,36.0,First Brother,1,216.0,IACHIMO,1,36.0,IACHIMO,8,36.0,PISANIO,2,27.0,PISANIO,1,27.0,PISANIO,2,27.0,IMOGEN,5,144.0,PISANIO,3,27.0,PISANIO,2,27.0,PISANIO,3,27.0,First Brother,1,216.0,IMOGEN,9,144.0,PISANIO,1,27.0,IMOGEN,6,144.0,POSTHUMUS LEONATUS,1,126.0,QUEEN,3,297.0,First Gentleman,1,162.0,IMOGEN,7,144.0,First Gentleman,2,162.0,Soothsayer,1,72.0,PISANIO,8,27.0,IMOGEN,13,144.0,IMOGEN,16,144.0,QUEEN,1,297.0,IMOGEN,3,144.0,Sicilius Leonatus,1,225.0,Sicilius Leonatus,2,225.0,IACHIMO,7,36.0,IMOGEN,5,144.0,PISANIO,2,27.0,PISANIO,3,27.0,PISANIO,1,27.0,IACHIMO,1,36.0,IACHIMO,5,36.0,PISANIO,3,27.0,IMOGEN,9,144.0,IMOGEN,4,144.0,CORNELIUS,1,333.0,IMOGEN,3,144.0,IMOGEN,18,144.0,PISANIO,2,27.0,IMOGEN,6,144.0,IMOGEN,2,144.0,IMOGEN,2,144.0,IACHIMO,1,36.0,IACHIMO,5,36.0,IACHIMO,5,36.0
PISANIO,1,27.0,IACHIMO,4,36.0,ARVIRAGUS,1,306.0,PISANIO,2,27.0,First Gentleman,2,162.0,CLOTEN,1,288.0,IACHIMO,1,36.0,QUEEN,5,297.0,QUEEN,3,297.0,First Brother,1,216.0,IACHIMO,2,36.0,IACHIMO,2,36.0,QUEEN,1,297.0,PISANIO,3,27.0,PISANIO,1,27.0,IACHIMO,1,36.0,PISANIO,4,27.0,BELARIUS,2,171.0,ARVIRAGUS,1,306.0,CLOTEN,5,288.0,PISANIO,2,27.0,ARVIRAGUS,2,306.0,POSTHUMUS LEONATUS,1,126.0,IACHIMO,1,36.0,PISANIO,2,27.0,PISANIO,14,27.0,First Gentleman,1,162.0,PISANIO,2,27.0,CORNELIUS,1,333.0,BELARIUS,6,171.0,First Gentleman,1,162.0,PISANIO,3,27.0,IACHIMO,3,36.0,IACHIMO,3,36.0,IACHIMO,4,36.0,CLOTEN,1,288.0,First Gentleman,1,162.0,IACHIMO,2,36.0,First Brother,1,216.0,First Brother,1,216.0,PISANIO,1,27.0,CAIUS LUCIUS,1,0, , , ,CLOTEN,1,288.0,PISANIO,1,27.0,PISANIO,1,27.0,PISANIO,1,27.0,ARVIRAGUS,2,306.0,First Gentleman,2,162.0,POSTHUMUS LEONATUS,3,126.0
IACHIMO,4,36.0,ARVIRAGUS,4,306.0,CLOTEN,4,288.0,IACHIMO,5,36.0,CLOTEN,2,288.0,Jupiter,1,315.0,ARVIRAGUS,1,306.0,First Gentleman,2,162.0,First Gentleman,1,162.0,PISANIO,1,27.0,CLOTEN,1,288.0,ARVIRAGUS,1,306.0,IACHIMO,2,36.0,QUEEN,1,297.0,QUEEN,1,297.0,ARVIRAGUS,1,306.0,IACHIMO,2,36.0,Second Lord,2,99.0,POSTHUMUS LEONATUS,1,126.0,Jupiter,1,315.0,IACHIMO,2,36.0,CLOTEN,3,288.0,Lord,1,63.0,CLOTEN,1,288.0,QUEEN,6,297.0,QUEEN,3,297.0,ARVIRAGUS,2,306.0,IACHIMO,3,36.0,First Senator,1,342.0,CORNELIUS,2,333.0,POSTHUMUS LEONATUS,7,126.0,QUEEN,1,297.0,First Gentleman,1,162.0,ARVIRAGUS,2,306.0,Sicilius Leonatus,1,225.0,BELARIUS,4,171.0,CLOTEN,3,288.0,First Gentleman,1,162.0,PISANIO,1,27.0,PISANIO,2,27.0,IACHIMO,5,36.0,ARVIRAGUS,2,306.0, , , ,Jupiter,1,315.0,IACHIMO,6,36.0,IACHIMO,3,36.0,IACHIMO,1,36.0,CLOTEN,1,288.0,First Senator,1,342.0,QUEEN,2,297.0
First Gentleman,2,162.0,CLOTEN,5,288.0,BELARIUS,1,171.0,ARVIRAGUS,2,306.0,BELARIUS,3,171.0,BELARIUS,4,171.0,POSTHUMUS LEONATUS,2,126.0,Soothsayer,1,72.0,POSTHUMUS LEONATUS,2,126.0,IACHIMO,6,36.0,BELARIUS,1,171.0,CLOTEN,1,288.0,First Gaoler,1,117.0,POSTHUMUS LEONATUS,2,126.0,POSTHUMUS LEONATUS,2,126.0,CLOTEN,1,288.0,First Gentleman,1,162.0,GUIDERIUS,2,81.0,BELARIUS,1,171.0,QUEEN,2,297.0,ARVIRAGUS,2,306.0,Sicilius Leonatus,2,225.0,BELARIUS,7,171.0,BELARIUS,1,171.0,First Gentleman,1,162.0,POSTHUMUS LEONATUS,2,126.0,Sicilius Leonatus,2,225.0,ARVIRAGUS,1,306.0, , , ,Frenchman,1,198.0,BELARIUS,4,171.0,IACHIMO,2,36.0,CLOTEN,7,288.0,CLOTEN,1,288.0,BELARIUS,1,171.0,Second Lord,1,99.0,QUEEN,2,297.0,CAIUS LUCIUS,1,0,IACHIMO,4,36.0,IACHIMO,2,36.0,ARVIRAGUS,1,306.0,CLOTEN,1,288.0, , , ,Mother,1,234.0,CLOTEN,3,288.0,First Gentleman,1,162.0,ARVIRAGUS,1,306.0,BELARIUS,5,171.0,ARVIRAGUS,2,306.0,BELARIUS,4,171.0
CLOTEN,3,288.0,Jupiter,1,315.0,Second Lord,1,99.0,Soothsayer,1,72.0,GUIDERIUS,2,81.0,GUIDERIUS,1,81.0,Soothsayer,2,72.0,Jupiter,1,315.0,IACHIMO,2,36.0,POSTHUMUS LEONATUS,3,126.0,CORNELIUS,2,333.0,BELARIUS,8,171.0,ARVIRAGUS,1,306.0,Jupiter,1,315.0,First Gaoler,1,117.0,QUEEN,2,297.0,CLOTEN,2,288.0,Posthumus Leonatus,1,207.0,Second Gentleman,1,324.0, , , ,POSTHUMUS LEONATUS,1,126.0,BELARIUS,7,171.0,Second Lord,1,99.0, , , ,First Gaoler,1,117.0,ARVIRAGUS,1,306.0,Jupiter,1,315.0,POSTHUMUS LEONATUS,6,126.0, , , , , , ,Second Gentleman,1,324.0,First Gaoler,2,117.0,BELARIUS,1,171.0, , , ,Second Gentleman,1,324.0,CORNELIUS,1,333.0, , , ,ARVIRAGUS,1,306.0,First Gentleman,4,162.0,First Gentleman,4,162.0,Sicilius Leonatus,3,225.0,BELARIUS,4,171.0, , , ,Second Lord,1,99.0,QUEEN,2,297.0,ARVIRAGUS,2,306.0,BELARIUS,1,171.0,GUIDERIUS,3,81.0,POSTHUMUS LEONATUS,2,126.0,GUIDERIUS,1,81.0
Second Lord,1,99.0,BELARIUS,1,171.0,QUEEN,1,297.0,GUIDERIUS,1,81.0,CORNELIUS,4,333.0,QUEEN,2,297.0,GUIDERIUS,2,81.0,Mother,1,234.0,Posthumus Leonatus,1,207.0,Soothsayer,2,72.0, , , ,GUIDERIUS,6,81.0,POSTHUMUS LEONATUS,4,126.0,BELARIUS,2,171.0,ARVIRAGUS,2,306.0,BELARIUS,4,171.0,BELARIUS,4,171.0, , , ,GUIDERIUS,4,81.0, , , ,BELARIUS,1,171.0,Second Lord,1,99.0,Frenchman,1,198.0, , , ,IACHIMO,2,36.0,CLOTEN,1,288.0,BELARIUS,3,171.0,BELARIUS,5,171.0, , , , , , ,Second Lord,1,99.0,ARVIRAGUS,2,306.0,GUIDERIUS,2,81.0, , , ,GUIDERIUS,1,81.0,Posthumus Leonatus,1,207.0, , , ,POSTHUMUS LEONATUS,4,126.0,ARVIRAGUS,2,306.0,POSTHUMUS LEONATUS,4,126.0,First Captain,1,252.0, , , , , , , , , ,BELARIUS,4,171.0,CLOTEN,2,288.0,Soothsayer,3,72.0,Posthumus Leonatus,2,207.0,CLOTEN,4,288.0,CORNELIUS,2,333.0
GUIDERIUS,1,81.0,GUIDERIUS,2,81.0,GUIDERIUS,1,81.0,CORNELIUS,1,333.0,Lady,1,189.0, , , ,CORNELIUS,1,333.0,BELARIUS,9,171.0,Mother,1,234.0,BELARIUS,1,171.0, , , , , , ,Soothsayer,1,72.0,GUIDERIUS,2,81.0,CLOTEN,3,288.0,GUIDERIUS,1,81.0,QUEEN,1,297.0, , , ,CLOTEN,1,288.0, , , ,GUIDERIUS,1,81.0,GUIDERIUS,3,81.0,Posthumus Leonatus,1,207.0, , , ,POSTHUMUS LEONATUS,9,126.0,Jupiter,1,315.0,Second Lord,1,99.0,GUIDERIUS,2,81.0, , , , , , , , , ,CLOTEN,2,288.0,CORNELIUS,1,333.0, , , ,CORNELIUS,2,333.0, , , , , , ,BELARIUS,2,171.0,CLOTEN,6,288.0,Messenger,1,45.0,BELARIUS,3,171.0, , , , , , , , , ,Second Lord,1,99.0, , , , , , , , , ,BELARIUS,5,171.0, , , 
 , , ,QUEEN,2,297.0, , , , , , , , , , , , ,Posthumus Leonatus,1,207.0,Second Lord,1,99.0,Soothsayer,1,72.0,Posthumus Leonatus,1,207.0, , , , , , ,BELARIUS,3,171.0,CLOTEN,1,288.0,BELARIUS,2,171.0,CORNELIUS,2,333.0, , , , , , , , , , , , , , , ,Posthumus Leonatus,1,207.0, , , , , , ,Mother,1,234.0,Soothsayer,1,72.0,Frenchman,1,198.0,CORNELIUS,4,333.0, , , , , , , , , ,BELARIUS,1,171.0,Second Captain,1,351.0, , , ,Lady,1,189.0, , , , , , , , , ,Lord,1,63.0,BELARIUS,5,171.0,Second Lord,2,99.0, , , , , , , , , ,CORNELIUS,1,333.0, , , , , , , , , ,GUIDERIUS,1,81.0, , , 
 , , , , , , , , , , , , , , , , , , , , ,First Captain,1,252.0, , , , , , , , , , , , ,Posthumus Leonatus,3,207.0, , , ,Second Gentleman,1,324.0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,BELARIUS,2,171.0,BELARIUS,1,171.0,Posthumus Leonatus,1,207.0,Posthumus Leonatus,1,207.0, , , , , , , , , ,GUIDERIUS,1,81.0, , , , , , ,Frenchman,1,198.0, , , , , , , , , ,BELARIUS,4,171.0,Second Gentleman,3,324.0,QUEEN,3,297.0, , , , , , , , , ,GUIDERIUS,1,81.0, , , , , , , , , ,CORNELIUS,4,333.0, , , 
 , , , , , , , , , , , , , , , , , , , , ,GUIDERIUS,2,81.0, , , , , , , , , , , , , , , , , , ,GUIDERIUS,1,81.0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,Second Lord,1,99.0,Second Lord,4,99.0, , , , , , , , , , , , , , , ,CORNELIUS,1,333.0, , , , , , , , , , , , , , , , , , ,GUIDERIUS,1,81.0,Second Lord,1,99.0, , , , , , , , , , , , , , , , , , , , , , , , ,Frenchman,1,198.0, , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CORNELIUS,1,333.0,Captain,1,243.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,First Captain,1,252.0,CORNELIUS,1,333.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,GUIDERIUS,3,81.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Second Captain,1,351.0,Second Captain,1,351.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
