heart,heartLines,heartColor,love,loveLines,loveColor,gold,goldLines,goldColor,give,giveLines,giveColor,gods,godsLines,godsColor,eyes,eyesLines,eyesColor,welcome,welcomeLines,welcomeColor,want,wantLines,wantColor,fool,foolLines,foolColor,poor,poorLines,poorColor,keep,keepLines,keepColor,thyself,thyselfLines,thyselfColor,best,bestLines,bestColor,speak,speakLines,speakColor,gone,goneLines,goneColor,use,useLines,useColor,ne'er,ne'erLines,ne'erColor,friends,friendsLines,friendsColor,away,awayLines,awayColor,athens,athensLines,athensColor,master,masterLines,masterColor,take,takeLines,takeColor,time,timeLines,timeColor,lord,lordLines,lordColor,tell,tellLines,tellColor,friend,friendLines,friendColor,timon,timonLines,timonColor,noble,nobleLines,nobleColor,life,lifeLines,lifeColor,never,neverLines,neverColor,nature,natureLines,natureColor,honour,honourLines,honourColor,men,menLines,menColor,none,noneLines,noneColor,mine,mineLines,mineColor,hear,hearLines,hearColor,nothing,nothingLines,nothingColor,world,worldLines,worldColor,stay,stayLines,stayColor,true,trueLines,trueColor,day,dayLines,dayColor,man,manLines,manColor,great,greatLines,greatColor,fortune,fortuneLines,fortuneColor,money,moneyLines,moneyColor,dog,dogLines,dogColor,honest,honestLines,honestColor,apemantus,apemantusLines,apemantusColor,sent,sentLines,sentColor,lordship,lordshipLines,lordshipColor
TIMON,14,272.903225806,TIMON,14,272.903225806,TIMON,14,272.903225806,TIMON,18,272.903225806,Merchant,1,110.322580645,TIMON,8,272.903225806,TIMON,12,272.903225806,TIMON,5,272.903225806,Fool,3,290.322580645,TIMON,5,272.903225806,TIMON,7,272.903225806,TIMON,8,272.903225806,TIMON,4,272.903225806,Merchant,2,110.322580645,TIMON,4,272.903225806,TIMON,6,272.903225806,TIMON,6,272.903225806,TIMON,18,272.903225806,TIMON,10,272.903225806,TIMON,11,272.903225806,Fool,1,290.322580645,TIMON,14,272.903225806,TIMON,7,272.903225806,First Lady,1,11.6129032258,TIMON,10,272.903225806,TIMON,25,272.903225806,Banditti,1,5.8064516129,TIMON,2,272.903225806,TIMON,3,272.903225806,TIMON,11,272.903225806,TIMON,11,272.903225806,TIMON,5,272.903225806,TIMON,31,272.903225806,Merchant,1,110.322580645,TIMON,8,272.903225806,TIMON,6,272.903225806,TIMON,8,272.903225806,TIMON,6,272.903225806,TIMON,3,272.903225806,TIMON,8,272.903225806,TIMON,4,272.903225806,Merchant,1,110.322580645,TIMON,5,272.903225806,TIMON,12,272.903225806,TIMON,1,272.903225806,TIMON,9,272.903225806,TIMON,16,272.903225806,TIMON,11,272.903225806,TIMON,1,272.903225806,First Lord,2,116.129032258
ALCIBIADES,2,191.612903226,ALCIBIADES,1,191.612903226,ALCIBIADES,3,191.612903226,Fourth Lord,1,354.193548387,TIMON,19,272.903225806,Cupid,1,52.2580645161,Lucilius' Servant,1,63.8709677419,ALCIBIADES,1,191.612903226,All Servants,1,278.709677419,First Bandit,1,0,First Lord,2,116.129032258,APEMANTUS,5,226.451612903,First Lord,2,116.129032258,TIMON,9,272.903225806,ALCIBIADES,1,191.612903226,First Lord,1,116.129032258,Servant,1,203.225806452,First Lord,1,116.129032258,Fool,2,290.322580645,ALCIBIADES,4,191.612903226,TIMON,3,272.903225806,ALCIBIADES,2,191.612903226,First Lord,3,116.129032258,First Stranger,3,17.4193548387,FLAMINIUS,1,121.935483871,ALCIBIADES,3,191.612903226,VENTIDIUS,1,23.2258064516,ALCIBIADES,5,191.612903226,ALCIBIADES,2,191.612903226,ALCIBIADES,1,191.612903226,ALCIBIADES,1,191.612903226,First Lord,1,116.129032258,Merchant,1,110.322580645,TIMON,6,272.903225806,ALCIBIADES,2,191.612903226,First Servant,1,296.129032258,ALCIBIADES,1,191.612903226,FLAMINIUS,1,121.935483871,First Lord,1,116.129032258,First Bandit,1,0,First Lord,3,116.129032258,TIMON,31,272.903225806,ALCIBIADES,3,191.612903226,First Lord,1,116.129032258,ALCIBIADES,1,191.612903226,Isidore's Servant,1,301.935483871,APEMANTUS,5,226.451612903,Merchant,1,110.322580645,First Lord,1,116.129032258,FLAMINIUS,2,121.935483871
FLAMINIUS,1,121.935483871,Servant,1,203.225806452,APEMANTUS,2,226.451612903,Second Bandit,1,162.580645161,FLAMINIUS,1,121.935483871,FLAVIUS,3,243.870967742,All Lords,1,220.64516129,Banditti,1,5.8064516129,Varro's Servant,3,75.4838709677,Varro's Second Servant,1,156.774193548,SERVILIUS,1,104.516129032,ALCIBIADES,1,191.612903226,First Lady,1,11.6129032258,FLAMINIUS,1,121.935483871,First Servant,1,296.129032258,FLAMINIUS,1,121.935483871,APEMANTUS,2,226.451612903,Servant,1,203.225806452,Soldier,1,139.35483871,Painter,1,180.0,FLAMINIUS,1,121.935483871,First Lady,1,11.6129032258,Painter,1,180.0,Both,4,29.0322580645,Second Stranger,1,267.096774194,Poet,2,69.6774193548,HORTENSIUS,1,34.8387096774,Painter,2,180.0,APEMANTUS,1,226.451612903,APEMANTUS,4,226.451612903,FLAMINIUS,1,121.935483871,FLAMINIUS,2,121.935483871,Fool,2,290.322580645,ALCIBIADES,3,191.612903226,TITUS,1,214.838709677,TITUS,1,214.838709677,FLAMINIUS,2,121.935483871,First Senator,1,348.387096774,ALCIBIADES,2,191.612903226,SERVILIUS,1,104.516129032,Fourth Lord,1,354.193548387,Fool,1,290.322580645,FLAMINIUS,1,121.935483871,APEMANTUS,1,226.451612903,TIMANDRA,1,98.7096774194,APEMANTUS,4,226.451612903,LUCULLUS,2,185.806451613,First Lord,1,116.129032258,FLAMINIUS,1,121.935483871,SERVILIUS,1,104.516129032
VENTIDIUS,1,23.2258064516,Second Servant,1,46.4516129032,Painter,1,180.0,APEMANTUS,6,226.451612903,SERVILIUS,1,104.516129032,Poet,1,69.6774193548,LUCULLUS,1,185.806451613,SERVILIUS,1,104.516129032,Isidore's Servant,1,301.935483871,Third Servant,1,209.032258065,ALCIBIADES,2,191.612903226,First Lord,1,116.129032258,ALCIBIADES,1,191.612903226,Varro's Servant,1,75.4838709677,VENTIDIUS,1,23.2258064516,SERVILIUS,1,104.516129032,LUCULLUS,1,185.806451613,APEMANTUS,1,226.451612903,Second Servant,1,46.4516129032,Soldier,1,139.35483871,First Servant,2,296.129032258,Soldier,1,139.35483871,SERVILIUS,1,104.516129032,HORTENSIUS,2,34.8387096774,Third Lord,1,313.548387097,FLAMINIUS,1,121.935483871,Cupid,1,52.2580645161,First Servant,1,296.129032258,First Stranger,1,17.4193548387,First Stranger,1,17.4193548387,Servant,1,203.225806452,SERVILIUS,2,104.516129032,Second Stranger,1,267.096774194,All Lords,1,220.64516129,HORTENSIUS,1,34.8387096774,Third Lord,1,313.548387097,First Servant,1,296.129032258,APEMANTUS,1,226.451612903,APEMANTUS,3,226.451612903,HORTENSIUS,1,34.8387096774,FLAVIUS,1,243.870967742,First Lord,1,116.129032258,Varro's Second Servant,1,156.774193548,First Servant,1,296.129032258,TITUS,3,214.838709677,Senator,2,249.677419355,FLAVIUS,3,243.870967742,Page,2,145.161290323,SERVILIUS,2,104.516129032,Isidore's Servant,1,301.935483871
First Lord,2,116.129032258,APEMANTUS,4,226.451612903,FLAVIUS,1,243.870967742,LUCULLUS,1,185.806451613,VENTIDIUS,1,23.2258064516,Second Lord,1,81.2903225806,APEMANTUS,1,226.451612903,APEMANTUS,1,226.451612903,APEMANTUS,9,226.451612903,Soldier,1,139.35483871,Servant,1,203.225806452, , , ,Servant,1,203.225806452,Varro's Second Servant,1,156.774193548,LUCULLUS,1,185.806451613,ALCIBIADES,2,191.612903226,First Stranger,1,17.4193548387,FLAVIUS,3,243.870967742,APEMANTUS,3,226.451612903,APEMANTUS,2,226.451612903,Painter,1,180.0,Servant,1,203.225806452,ALCIBIADES,5,191.612903226,Both Varro's Servants,1,40.6451612903,Poet,1,69.6774193548,First Servant,1,296.129032258,Messenger,1,58.064516129,VENTIDIUS,1,23.2258064516,FLAVIUS,2,243.870967742,FLAVIUS,1,243.870967742,APEMANTUS,3,226.451612903,ALCIBIADES,4,191.612903226,First Lord,1,116.129032258,APEMANTUS,3,226.451612903,Varro's First Servant,2,150.967741935,APEMANTUS,1,226.451612903,Third Senator,1,319.35483871,First Stranger,1,17.4193548387,FLAVIUS,2,243.870967742,Poet,1,69.6774193548,APEMANTUS,2,226.451612903,Servant,2,203.225806452,APEMANTUS,2,226.451612903,ALCIBIADES,3,191.612903226,FLAVIUS,1,243.870967742,Second Lord,1,81.2903225806, , , ,APEMANTUS,3,226.451612903,Third Servant,1,209.032258065,Servant,2,203.225806452
Third Servant,1,209.032258065,Messenger,1,58.064516129,Poet,1,69.6774193548,FLAVIUS,2,243.870967742,ALCIBIADES,2,191.612903226,Painter,2,180.0, , , ,Painter,1,180.0,LUCULLUS,1,185.806451613,Second Servant,1,46.4516129032,APEMANTUS,1,226.451612903, , , ,Cupid,1,52.2580645161,Soldier,1,139.35483871,FLAVIUS,4,243.870967742,APEMANTUS,2,226.451612903,FLAVIUS,2,243.870967742,Poet,2,69.6774193548,Lucilius' Servant,1,63.8709677419,LUCULLUS,1,185.806451613,Servant,1,203.225806452,TITUS,1,214.838709677,APEMANTUS,1,226.451612903,Second Servant,1,46.4516129032,First Stranger,1,17.4193548387,First Lord,1,116.129032258,Poet,3,69.6774193548,Servant,1,203.225806452,Poet,2,69.6774193548,LUCILIUS,1,168.387096774,FLAVIUS,1,243.870967742,Third Servant,1,209.032258065,TITUS,1,214.838709677,Painter,1,180.0,APEMANTUS,1,226.451612903,First Stranger,1,17.4193548387,APEMANTUS,3,226.451612903,FLAVIUS,1,243.870967742,CAPHIS,1,330.967741935,Second Bandit,1,162.580645161,PHILOTUS,1,325.161290323,Second Senator,1,87.0967741935,LUCILIUS,1,168.387096774,Second Servant,1,46.4516129032,LUCULLUS,1,185.806451613,Page,2,145.161290323, , , ,Poet,1,69.6774193548,Isidore's Servant,1,301.935483871,TITUS,1,214.838709677
HORTENSIUS,1,34.8387096774,First Stranger,1,17.4193548387,Senator,2,249.677419355,Senator,3,249.677419355,HORTENSIUS,1,34.8387096774, , , , , , ,FLAVIUS,2,243.870967742,TIMON,6,272.903225806,APEMANTUS,2,226.451612903,LUCULLUS,1,185.806451613, , , ,First Senator,1,348.387096774,First Senator,2,348.387096774,Senator,1,249.677419355,LUCULLUS,2,185.806451613,LUCILIUS,1,168.387096774,First Bandit,1,0,Second Lord,1,81.2903225806,LUCILIUS,1,168.387096774,HORTENSIUS,1,34.8387096774,First Servant,1,296.129032258,LUCULLUS,4,185.806451613,Lucilius' Servant,5,63.8709677419,FLAVIUS,1,243.870967742,Servant,1,203.225806452,Lucilius' Servant,2,63.8709677419,Third Lord,1,313.548387097,First Senator,1,348.387096774, , , ,Poet,3,69.6774193548,Second Servant,1,46.4516129032,ALCIBIADES,2,191.612903226, , , ,Messenger,1,58.064516129,FLAVIUS,3,243.870967742,FLAVIUS,1,243.870967742,Poet,2,69.6774193548, , , ,LUCILIUS,1,168.387096774,LUCILIUS,1,168.387096774,Soldier,1,139.35483871,Painter,4,180.0,LUCILIUS,1,168.387096774,First Stranger,1,17.4193548387,Painter,1,180.0, , , ,Jeweller,1,174.193548387,LUCILIUS,3,168.387096774,Poet,1,69.6774193548
APEMANTUS,3,226.451612903,FLAVIUS,3,243.870967742,Second Lord,1,81.2903225806,First Senator,1,348.387096774,APEMANTUS,4,226.451612903, , , , , , ,LUCILIUS,2,168.387096774,CAPHIS,2,330.967741935,FLAVIUS,6,243.870967742,Lucilius' Servant,1,63.8709677419, , , ,APEMANTUS,2,226.451612903,APEMANTUS,2,226.451612903,Page,1,145.161290323,First Stranger,1,17.4193548387,First Senator,1,348.387096774,SEMPRONIUS,1,342.580645161, , , ,Second Senator,1,87.0967741935,Varro's First Servant,1,150.967741935,APEMANTUS,1,226.451612903,FLAVIUS,5,243.870967742,Poet,2,69.6774193548,LUCILIUS,1,168.387096774,APEMANTUS,2,226.451612903,Second Lord,3,81.2903225806,First Senator,1,348.387096774,Painter,1,180.0, , , ,Second Senator,1,87.0967741935,Messenger,1,58.064516129,APEMANTUS,10,226.451612903, , , ,First Stranger,1,17.4193548387,Poet,1,69.6774193548,LUCILIUS,1,168.387096774,Old Athenian,1,92.9032258065, , , ,Second Senator,1,87.0967741935,Painter,1,180.0,ALCIBIADES,5,191.612903226,FLAVIUS,4,243.870967742,FLAVIUS,2,243.870967742,Lucilius' Servant,2,63.8709677419, , , , , , ,All Servants,1,278.709677419,Second Lord,4,81.2903225806,Messenger,1,58.064516129
FLAVIUS,3,243.870967742,Poet,2,69.6774193548,First Bandit,2,0,TIMANDRA,1,98.7096774194,FLAVIUS,5,243.870967742, , , , , , ,Senator,1,249.677419355,SEMPRONIUS,1,342.580645161,Painter,1,180.0, , , , , , ,First Stranger,1,17.4193548387,Messenger,1,58.064516129, , , ,FLAVIUS,1,243.870967742, , , , , , , , , ,First Senator,4,348.387096774,LUCULLUS,2,185.806451613,LUCULLUS,1,185.806451613,LUCILIUS,1,168.387096774,Varro's Servant,2,75.4838709677,Senator,1,249.677419355,Messenger,1,58.064516129,Second Senator,4,87.0967741935,Soldier,1,139.35483871, , , , , , ,First Senator,1,348.387096774,Both,1,29.0322580645,Banditti,1,5.8064516129, , , ,FLAVIUS,3,243.870967742,Second Lord,1,81.2903225806,Senator,1,249.677419355,TIMANDRA,1,98.7096774194, , , ,Painter,2,180.0,Lucilius' Servant,1,63.8709677419,First Senator,1,348.387096774,Poet,1,69.6774193548,Poet,4,69.6774193548,LUCILIUS,2,168.387096774, , , , , , ,Second Lord,1,81.2903225806,First Senator,1,348.387096774,Painter,1,180.0
Poet,1,69.6774193548,Senator,1,249.677419355,TIMANDRA,2,98.7096774194,SEMPRONIUS,1,342.580645161,LUCILIUS,2,168.387096774, , , , , , ,First Bandit,1,0, , , , , , , , , , , , ,FLAVIUS,1,243.870967742,ALCIBIADES,2,191.612903226, , , ,LUCILIUS,2,168.387096774, , , , , , , , , ,CAPHIS,1,330.967741935,FLAVIUS,5,243.870967742,FLAVIUS,3,243.870967742,Senator,1,249.677419355,Second Lord,8,81.2903225806, , , ,Painter,1,180.0,Old Athenian,3,92.9032258065,LUCULLUS,1,185.806451613, , , , , , , , , ,FLAVIUS,2,243.870967742,First Stranger,3,17.4193548387, , , ,LUCILIUS,1,168.387096774,Old Athenian,1,92.9032258065,First Senator,1,348.387096774, , , , , , , , , ,Poet,1,69.6774193548,APEMANTUS,9,226.451612903,Second Senator,1,87.0967741935,Second Lord,1,81.2903225806,Senator,1,249.677419355, , , , , , , , , ,SEMPRONIUS,1,342.580645161,FLAVIUS,1,243.870967742
Second Senator,1,87.0967741935,Second Senator,3,87.0967741935, , , , , , ,Lucilius' Servant,1,63.8709677419, , , , , , ,CAPHIS,1,330.967741935, , , , , , , , , , , , ,Old Athenian,1,92.9032258065,FLAVIUS,6,243.870967742, , , ,Senator,1,249.677419355, , , , , , , , , , , , ,CAPHIS,2,330.967741935,Senator,1,249.677419355,Second Lord,1,81.2903225806,Second Senator,1,87.0967741935, , , ,First Stranger,2,17.4193548387,TIMANDRA,1,98.7096774194,First Stranger,1,17.4193548387, , , , , , , , , ,LUCILIUS,2,168.387096774,FLAVIUS,1,243.870967742, , , ,Senator,1,249.677419355, , , ,Painter,2,180.0, , , , , , , , , ,Senator,1,249.677419355,LUCILIUS,1,168.387096774,First Senator,1,348.387096774,Second Senator,1,87.0967741935,Third Lord,1,313.548387097, , , , , , , , , , , , ,LUCILIUS,3,168.387096774
First Senator,1,348.387096774,First Senator,2,348.387096774, , , , , , ,Old Athenian,1,92.9032258065, , , , , , , , , , , , , , , , , , , , , ,Painter,1,180.0,LUCILIUS,1,168.387096774, , , ,Second Lord,1,81.2903225806, , , , , , , , , , , , , , , ,Second Senator,2,87.0967741935,Second Senator,3,87.0967741935,Old Athenian,4,92.9032258065, , , ,FLAVIUS,5,243.870967742,Merchant,1,110.322580645,FLAVIUS,3,243.870967742, , , , , , , , , ,Senator,1,249.677419355,Second Senator,1,87.0967741935, , , ,Lucilius' Servant,3,63.8709677419, , , , , , , , , , , , , , , ,Second Lord,2,81.2903225806,Messenger,1,58.064516129,CAPHIS,1,330.967741935,Painter,2,180.0,CAPHIS,1,330.967741935, , , , , , , , , , , , ,Jeweller,1,174.193548387
First Senator ,1,232.258064516,Painter,1,180.0, , , , , , ,Painter,1,180.0, , , , , , , , , , , , , , , , , , , , , , , , ,Old Athenian,1,92.9032258065, , , ,Second Senator,1,87.0967741935, , , , , , , , , , , , , , , ,First Senator,2,348.387096774,First Bandit,1,0,SERVILIUS,6,104.516129032, , , ,LUCILIUS,2,168.387096774,First Lord,2,116.129032258,Second Lord,1,81.2903225806, , , , , , , , , ,Second Senator,1,87.0967741935, , , , , , ,Old Athenian,1,92.9032258065, , , , , , , , , , , , , , , ,Second Senator,2,87.0967741935,LUCULLUS,1,185.806451613, , , , , , , , , , , , , , , , , , , , , ,Second Lord,2,81.2903225806
 , , ,SEMPRONIUS,1,342.580645161, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Painter,1,180.0, , , ,First Senator,1,348.387096774, , , , , , , , , , , , , , , ,SEMPRONIUS,1,342.580645161, , , ,Merchant,3,110.322580645, , , ,First Senator,1,348.387096774,LUCILIUS,3,168.387096774,Second Senator,1,87.0967741935, , , , , , , , , ,Old Athenian,1,92.9032258065, , , , , , ,SEMPRONIUS,1,342.580645161, , , , , , , , , , , , , , , ,CAPHIS,1,330.967741935,First Stranger,1,17.4193548387, , , , , , , , , , , , , , , , , , , , , ,CAPHIS,1,330.967741935
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Painter,1,180.0, , , , , , , , , , , , , , , , , , , , , ,First Lord,7,116.129032258, , , ,First Bandit,1,0,Painter,1,180.0,Old Athenian,3,92.9032258065, , , , , , , , , ,SEMPRONIUS,1,342.580645161, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FLAVIUS,5,243.870967742, , , , , , , , , , , , , , , , , , , , , ,Some Speak,1,336.774193548
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FLAMINIUS,4,121.935483871, , , ,SEMPRONIUS,1,342.580645161,ALCIBIADES,9,191.612903226,CAPHIS,1,330.967741935, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Poet,2,69.6774193548, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Second Stranger,3,267.096774194, , , , , , ,Third Servant,1,209.032258065, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Second Lord,2,81.2903225806, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Varro's First Servant,1,150.967741935, , , , , , ,TITUS,2,214.838709677, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,First Bandit,1,0, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Varro's Second Servant,1,156.774193548, , , , , , ,Third Senator,1,319.35483871, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Old Athenian,3,92.9032258065, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,LUCILIUS,5,168.387096774, , , , , , ,APEMANTUS,12,226.451612903, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Painter,1,180.0, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Jeweller,3,174.193548387, , , , , , ,First Stranger,5,17.4193548387, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SEMPRONIUS,1,342.580645161, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CAPHIS,5,330.967741935, , , , , , ,FLAVIUS,7,243.870967742, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,LUCULLUS,3,185.806451613, , , , , , ,Senator,4,249.677419355, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ALCIBIADES,9,191.612903226, , , , , , ,TIMON,14,272.903225806, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Servant,9,203.225806452, , , , , , ,All Servants,1,278.709677419, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Third Servant,2,209.032258065, , , , , , ,Soldier,2,139.35483871, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,TITUS,3,214.838709677, , , , , , ,First Senator,4,348.387096774, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,APEMANTUS,7,226.451612903, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Servants,1,238.064516129, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FLAVIUS,23,243.870967742, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Senator,2,249.677419355, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,All Ladies,1,255.483870968, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,TIMON,13,272.903225806, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,All Servants,1,278.709677419, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Fool,1,290.322580645, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Isidore's Servant,1,301.935483871, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Third Lord,1,313.548387097, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PHILOTUS,1,325.161290323, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Painter,6,180.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SEMPRONIUS,2,342.580645161, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,First Senator,1,348.387096774, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
